geometry_id,mesh_id,clscale,clmax,mesh_filepath
wireSphEnds_Lx_0.04_D_0.08,wireSphEnds_Lx_0.04_D_0.08_clscale_0.5_clmax_0.01,0.5,0.01,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//mesh/wireSphEnds_Lx_0.04_D_0.08_clscale_0.5_clmax_0.01.msh
wireSphEnds_Lx_0.0004_D_0.0008,wireSphEnds_Lx_0.0004_D_0.0008_clscale_0.5_clmax_0.01,0.5,0.01,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//mesh/wireSphEnds_Lx_0.0004_D_0.0008_clscale_0.5_clmax_0.01.msh
sphere_D_0.003,sphere_D_0.003_clscale_0.5_clmax_0.01,0.5,0.01,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure/mesh/sphere_D_0.003_clscale_0.5_clmax_0.01.msh
sphere_D_0.004,sphere_D_0.004_clscale_0.5_clmax_0.01,0.5,0.01,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure/mesh/sphere_D_0.004_clscale_0.5_clmax_0.01.msh
sphere_D_1,sphere_D_1_clscale_0.5_clmax_0.01,0.5,0.01,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure/mesh/sphere_D_1_clscale_0.5_clmax_0.01.msh
sphere_D_1,sphere_D_1_clscale_0.5_clmax_0.1,0.5,0.1,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure/mesh/sphere_D_1_clscale_0.5_clmax_0.1.msh
sphere_D_1.25,sphere_D_1.25_clscale_0.5_clmax_0.1,0.5,0.1,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure/mesh/sphere_D_1.25_clscale_0.5_clmax_0.1.msh
sphere_D_2,sphere_D_2_clscale_0.5_clmax_0.2,0.5,0.2,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure/mesh/sphere_D_2_clscale_0.5_clmax_0.2.msh
sphere_D_2.5,sphere_D_2.5_clscale_0.5_clmax_0.2,0.5,0.2,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure/mesh/sphere_D_2.5_clscale_0.5_clmax_0.2.msh
sphere_D_0.5,sphere_D_0.5_clscale_0.5_clmax_0.05,0.5,0.05,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure/mesh/sphere_D_0.5_clscale_0.5_clmax_0.05.msh
sphere_D_0.625,sphere_D_0.625_clscale_0.5_clmax_0.05,0.5,0.05,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure/mesh/sphere_D_0.625_clscale_0.5_clmax_0.05.msh
sphere_D_1.5,sphere_D_1.5_clscale_0.5_clmax_0.15,0.5,0.15,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure/mesh/sphere_D_1.5_clscale_0.5_clmax_0.15.msh
sphere_D_1.875,sphere_D_1.875_clscale_0.5_clmax_0.15,0.5,0.15,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure/mesh/sphere_D_1.875_clscale_0.5_clmax_0.15.msh
spheroid/rx_0.03/rz_0.03,spheroid/rx_0.03/rz_0.03_clscale_0_clmax_0,,,
spheroid_rx_0.03_rz_0.03,spheroid_rx_0.03_rz_0.03_clscale_0_clmax_0,,,
spheroid_rx_0.03_rz_0.03,spheroid_rx_0.03_rz_0.03_NTheta_0,,,
spheroid_rx_0.03_rz_0.01111,spheroid_rx_0.03_rz_0.01111_NTheta_0,,,
spheroid_rx_4.051_rz_7.418,spheroid_rx_4.051_rz_7.418_NTheta_0,,,
spheroid_rx_5.469_rz_5.756,spheroid_rx_5.469_rz_5.756_NTheta_0,,,
spheroid_rx_3.328_rz_9.352,spheroid_rx_3.328_rz_9.352_NTheta_0,,,
spheroid_rx_0.293_rz_5.658,spheroid_rx_0.293_rz_5.658_NTheta_0,,,
spheroid_rx_7.58_rz_0.616,spheroid_rx_7.58_rz_0.616_NTheta_0,,,
spheroid_rx_8.069_rz_0.265,spheroid_rx_8.069_rz_0.265_NTheta_0,,,
spheroid_rx_8.546_rz_1.806,spheroid_rx_8.546_rz_1.806_NTheta_0,,,
spheroid_rx_4.634_rz_0.542,spheroid_rx_4.634_rz_0.542_NTheta_0,,,
spheroid_rx_1.11_rz_6.608,spheroid_rx_1.11_rz_6.608_NTheta_0,,,
spheroid_rx_5.868_rz_1.853,spheroid_rx_5.868_rz_1.853_NTheta_0,,,
spheroid_rx_9.989_rz_1.07,spheroid_rx_9.989_rz_1.07_NTheta_0,,,
spheroid_rx_10.0_rz_10.0,spheroid_rx_10.0_rz_10.0_NTheta_0,,,
spheroid_rx_2.0_rz_2.0,spheroid_rx_2.0_rz_2.0_NTheta_0,,,
spheroid_rx_5.916_rz_7.462,spheroid_rx_5.916_rz_7.462_NTheta_0,,,
spheroid_rx_1.853_rz_9.36,spheroid_rx_1.853_rz_9.36_NTheta_0,,,
spheroid_rx_2.081_rz_5.63,spheroid_rx_2.081_rz_5.63_NTheta_0,,,
spheroid_rx_5.875_rz_4.356,spheroid_rx_5.875_rz_4.356_NTheta_0,,,
spheroid_rx_0.584_rz_2.45,spheroid_rx_0.584_rz_2.45_NTheta_0,,,
spheroid_rx_6.167_rz_8.299,spheroid_rx_6.167_rz_8.299_NTheta_0,,,
spheroid_rx_0.465_rz_8.94,spheroid_rx_0.465_rz_8.94_NTheta_0,,,
spheroid_rx_9.834_rz_9.144,spheroid_rx_9.834_rz_9.144_NTheta_0,,,
spheroid_rx_7.895_rz_3.505,spheroid_rx_7.895_rz_3.505_NTheta_0,,,
spheroid_rx_2.301_rz_9.503,spheroid_rx_2.301_rz_9.503_NTheta_0,,,
spheroid_rx_5.03_rz_8.176,spheroid_rx_5.03_rz_8.176_NTheta_0,,,
spheroid_rx_8.601_rz_8.17,spheroid_rx_8.601_rz_8.17_NTheta_0,,,
spheroid_rx_3.132_rz_6.278,spheroid_rx_3.132_rz_6.278_NTheta_0,,,
spheroid_rx_5.941_rz_2.601,spheroid_rx_5.941_rz_2.601_NTheta_0,,,
spheroid_rx_5.553_rz_0.331,spheroid_rx_5.553_rz_0.331_NTheta_0,,,
spheroid_rx_0.273_rz_0.868,spheroid_rx_0.273_rz_0.868_NTheta_0,,,
spheroid_rx_4.799_rz_0.334,spheroid_rx_4.799_rz_0.334_NTheta_0,,,
spheroid_rx_5.97_rz_7.414,spheroid_rx_5.97_rz_7.414_NTheta_0,,,
spheroid_rx_5.966_rz_3.922,spheroid_rx_5.966_rz_3.922_NTheta_0,,,
spheroid_rx_5.371_rz_8.75,spheroid_rx_5.371_rz_8.75_NTheta_0,,,
spheroid_rx_5.417_rz_2.805,spheroid_rx_5.417_rz_2.805_NTheta_0,,,
spheroid_rx_3.858_rz_8.539,spheroid_rx_3.858_rz_8.539_NTheta_0,,,
spheroid_rx_8.056_rz_7.84,spheroid_rx_8.056_rz_7.84_NTheta_0,,,
spheroid_rx_6.78_rz_7.553,spheroid_rx_6.78_rz_7.553_NTheta_0,,,
spheroid_rx_9.813_rz_8.272,spheroid_rx_9.813_rz_8.272_NTheta_0,,,
spheroid_rx_5.758_rz_3.929,spheroid_rx_5.758_rz_3.929_NTheta_0,,,
spheroid_rx_3.607_rz_2.491,spheroid_rx_3.607_rz_2.491_NTheta_0,,,
spheroid_rx_4.24_rz_3.26,spheroid_rx_4.24_rz_3.26_NTheta_0,,,
spheroid_rx_3.698_rz_7.525,spheroid_rx_3.698_rz_7.525_NTheta_0,,,
spheroid_rx_9.45_rz_9.014,spheroid_rx_9.45_rz_9.014_NTheta_0,,,
spheroid_rx_7.647_rz_4.554,spheroid_rx_7.647_rz_4.554_NTheta_0,,,
spheroid_rx_5.051_rz_4.915,spheroid_rx_5.051_rz_4.915_NTheta_0,,,
spheroid_rx_2.432_rz_1.911,spheroid_rx_2.432_rz_1.911_NTheta_0,,,
spheroid_rx_5.11_rz_7.091,spheroid_rx_5.11_rz_7.091_NTheta_0,,,
spheroid_rx_4.759_rz_6.998,spheroid_rx_4.759_rz_6.998_NTheta_0,,,
spheroid_rx_1.161_rz_8.106,spheroid_rx_1.161_rz_8.106_NTheta_0,,,
spheroid_rx_3.889_rz_4.103,spheroid_rx_3.889_rz_4.103_NTheta_0,,,
spheroid_rx_9.596_rz_9.225,spheroid_rx_9.596_rz_9.225_NTheta_0,,,
spheroid_rx_6.641_rz_3.043,spheroid_rx_6.641_rz_3.043_NTheta_0,,,
spheroid_rx_3.634_rz_8.174,spheroid_rx_3.634_rz_8.174_NTheta_0,,,
spheroid_rx_7.938_rz_6.407,spheroid_rx_7.938_rz_6.407_NTheta_0,,,
spheroid_rx_7.152_rz_3.634,spheroid_rx_7.152_rz_3.634_NTheta_0,,,
spheroid_rx_5.908_rz_3.43,spheroid_rx_5.908_rz_3.43_NTheta_0,,,
spheroid_rx_7.696_rz_5.933,spheroid_rx_7.696_rz_5.933_NTheta_0,,,
spheroid_rx_8.356_rz_1.699,spheroid_rx_8.356_rz_1.699_NTheta_0,,,
spheroid_rx_5.316_rz_8.376,spheroid_rx_5.316_rz_8.376_NTheta_0,,,
spheroid_rx_4.144_rz_2.216,spheroid_rx_4.144_rz_2.216_NTheta_0,,,
spheroid_rx_5.699_rz_3.892,spheroid_rx_5.699_rz_3.892_NTheta_0,,,
spheroid_rx_3.63_rz_2.223,spheroid_rx_3.63_rz_2.223_NTheta_0,,,
