simulation_id,simulation_type,mesh_id,material_surr,material_particle,simulation_result_filepath,tolerance,start_times,end_times,RelOrient_id
wire/Lx_0.4/D_0.08//clscale_0.95_clmax_1/CONST_EPS_1.8/Au/scatter/tol_1e-05,scatter,wire/Lx_0.4/D_0.08//clscale_0.95_clmax_1,CONST_EPS_1.8,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wire/Lx_0.4/D_0.08//CONST_EPS_1.8/Au/scatter//clscale_0.95_clmax_1_tol_1e-05.scatter.EMTPFT,1e-05,To be coded,To be coded,
wire/Lx_0.4/D_0.08//clscale_0.95_clmax_1/CONST_EPS_1.8/Au/tmatrix/tol_1e-05,tmatrix,wire/Lx_0.4/D_0.08//clscale_0.95_clmax_1,CONST_EPS_1.8,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wire/Lx_0.4/D_0.08//CONST_EPS_1.8/Au/tmatrix//clscale_0.95_clmax_1_tol_1e-05.tmatrix/Lmax_2.TMatrix,1e-05,To be coded,To be coded,
spheroid/rx_0.4/rz_0.08//clscale_0.95_clmax_1/CONST_EPS_1/Au/neq/tol_1e-05,neq,spheroid/rx_0.4/rz_0.08//clscale_0.95_clmax_1,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//spheroid/rx_0.4/rz_0.08//CONST_EPS_1/Au/neq//clscale_0.95_clmax_1_tol_1e-05.neq.SIFlux.EMTPFT,1e-05,To be coded,To be coded,
spheroid/rx_0.4/rz_0.08//clscale_0.95_clmax_1/CONST_EPS_1/Au/scatter/tol_1e-05,scatter,spheroid/rx_0.4/rz_0.08//clscale_0.95_clmax_1,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//spheroid/rx_0.4/rz_0.08//CONST_EPS_1/Au/scatter//clscale_0.95_clmax_1_tol_1e-05.scatter.EMTPFT,1e-05,To be coded,To be coded,
spheroid/rx_0.4/rz_0.08//clscale_0.95_clmax_1/CONST_EPS_1/Au/tmatrix/tol_1e-05,tmatrix,spheroid/rx_0.4/rz_0.08//clscale_0.95_clmax_1,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//spheroid/rx_0.4/rz_0.08//CONST_EPS_1/Au/tmatrix//clscale_0.95_clmax_1_tol_1e-05.tmatrix/Lmax_2.TMatrix,1e-05,To be coded,To be coded,
spheroid/rx_0.04/rz_0.08//clscale_0.95_clmax_1/CONST_EPS_1/Au/neq/tol_1e-05,neq,spheroid/rx_0.04/rz_0.08//clscale_0.95_clmax_1,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//spheroid/rx_0.04/rz_0.08//CONST_EPS_1/Au/neq//clscale_0.95_clmax_1_tol_1e-05.neq.SIFlux.EMTPFT,1e-05,To be coded,To be coded,
spheroid/rx_0.04/rz_0.08//clscale_0.95_clmax_1/CONST_EPS_1/Au/scatter/tol_1e-05,scatter,spheroid/rx_0.04/rz_0.08//clscale_0.95_clmax_1,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//spheroid/rx_0.04/rz_0.08//CONST_EPS_1/Au/scatter//clscale_0.95_clmax_1_tol_1e-05.scatter.EMTPFT,1e-05,To be coded,To be coded,
spheroid/rx_0.04/rz_0.08//clscale_0.95_clmax_1/CONST_EPS_1/Au/tmatrix/tol_1e-05,tmatrix,spheroid/rx_0.04/rz_0.08//clscale_0.95_clmax_1,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//spheroid/rx_0.04/rz_0.08//CONST_EPS_1/Au/tmatrix//clscale_0.95_clmax_1_tol_1e-05.tmatrix/Lmax_2.TMatrix,1e-05,To be coded,To be coded,
spheroid/rx_0.04/rz_0.08//clscale_0.5_clmax_1/CONST_EPS_1/Au/neq/tol_1e-05,neq,spheroid/rx_0.04/rz_0.08//clscale_0.5_clmax_1,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//spheroid/rx_0.04/rz_0.08//CONST_EPS_1/Au/neq//clscale_0.5_clmax_1_tol_1e-05.neq.SIFlux.EMTPFT,1e-05,To be coded,To be coded,
spheroid/rx_0.04/rz_0.08//clscale_0.5_clmax_1/CONST_EPS_1/Au/scatter/tol_1e-05,scatter,spheroid/rx_0.04/rz_0.08//clscale_0.5_clmax_1,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//spheroid/rx_0.04/rz_0.08//CONST_EPS_1/Au/scatter//clscale_0.5_clmax_1_tol_1e-05.scatter.EMTPFT,1e-05,To be coded,To be coded,
spheroid/rx_0.04/rz_0.08//clscale_0.5_clmax_1/CONST_EPS_1/Au/tmatrix/tol_1e-05,tmatrix,spheroid/rx_0.04/rz_0.08//clscale_0.5_clmax_1,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//spheroid/rx_0.04/rz_0.08//CONST_EPS_1/Au/tmatrix//clscale_0.5_clmax_1_tol_1e-05.tmatrix/Lmax_2.TMatrix,1e-05,To be coded,To be coded,
sphere/D_0.04//clscale_0.5_clmax_1/CONST_EPS_1/Au/neq/tol_1e-05,neq,sphere/D_0.04//clscale_0.5_clmax_1,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.04//CONST_EPS_1/Au/neq//clscale_0.5_clmax_1_tol_1e-05.neq.SIFlux.EMTPFT,1e-05,To be coded,To be coded,
sphere/D_0.04//clscale_0.5_clmax_1/CONST_EPS_1/Au/scatter/tol_1e-05,scatter,sphere/D_0.04//clscale_0.5_clmax_1,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.04//CONST_EPS_1/Au/scatter//clscale_0.5_clmax_1_tol_1e-05.scatter.EMTPFT,1e-05,To be coded,To be coded,
sphere/D_0.04//clscale_0.5_clmax_1/CONST_EPS_1/Au/tmatrix/tol_1e-05,tmatrix,sphere/D_0.04//clscale_0.5_clmax_1,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.04//CONST_EPS_1/Au/tmatrix//clscale_0.5_clmax_1_tol_1e-05.tmatrix/Lmax_2.TMatrix,1e-05,To be coded,To be coded,
sphere/D_0.07//clscale_0.5_clmax_1/CONST_EPS_1/Au/neq/tol_1e-05,neq,sphere/D_0.07//clscale_0.5_clmax_1,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.07//CONST_EPS_1/Au/neq//clscale_0.5_clmax_1_tol_1e-05.neq.SIFlux.EMTPFT,1e-05,To be coded,To be coded,
sphere/D_0.07//clscale_0.5_clmax_1/CONST_EPS_1/Au/scatter/tol_1e-05,scatter,sphere/D_0.07//clscale_0.5_clmax_1,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.07//CONST_EPS_1/Au/scatter//clscale_0.5_clmax_1_tol_1e-05.scatter.EMTPFT,1e-05,To be coded,To be coded,
sphere/D_0.07//clscale_0.5_clmax_1/CONST_EPS_1/Au/tmatrix/tol_1e-05,tmatrix,sphere/D_0.07//clscale_0.5_clmax_1,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.07//CONST_EPS_1/Au/tmatrix//clscale_0.5_clmax_1_tol_1e-05.tmatrix/Lmax_2.TMatrix,1e-05,To be coded,To be coded,
sphere/D_0.07//clscale_0.5_clmax_0.01/CONST_EPS_1/Au/neq/tol_1e-05,neq,sphere/D_0.07//clscale_0.5_clmax_0.01,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.07//CONST_EPS_1/Au/neq//clscale_0.5_clmax_0.01_tol_1e-05.neq.SIFlux.EMTPFT,1e-05,To be coded,To be coded,
